DATE,SP500
04/12/12,1387.57
04/13/12,1370.26
04/16/12,1369.57
04/17/12,1390.78
04/18/12,1385.14
04/19/12,1376.92
04/20/12,1378.53
04/23/12,1366.94
04/24/12,1371.97
04/25/12,1390.69
04/26/12,1399.98
04/27/12,1403.36
04/30/12,1397.91
05/01/12,1405.82
05/02/12,1402.31
05/03/12,1391.57
05/04/12,1369.1
05/07/12,1369.58
05/08/12,1363.72
05/09/12,1354.58
05/10/12,1357.99
05/11/12,1353.39
05/14/12,1338.35
05/15/12,1330.66
05/16/12,1324.8
05/17/12,1304.86
05/18/12,1295.22
05/21/12,1315.99
05/22/12,1316.63
05/23/12,1318.86
05/24/12,1320.68
05/25/12,1317.82
05/28/12,0
05/29/12,1332.42
05/30/12,1313.32
05/31/12,1310.33
06/01/12,1278.04
06/04/12,1278.18
06/05/12,1285.5
06/06/12,1315.13
06/07/12,1314.99
06/08/12,1325.66
06/11/12,1308.93
06/12/12,1324.18
06/13/12,1314.88
06/14/12,1329.1
06/15/12,1342.84
06/18/12,1344.78
06/19/12,1357.98
06/20/12,1355.69
06/21/12,1325.51
06/22/12,1335.02
06/25/12,1313.72
06/26/12,1319.99
06/27/12,1331.85
06/28/12,1329.04
06/29/12,1362.16
07/02/12,1365.51
07/03/12,1374.02
07/04/12,0
07/05/12,1367.58
07/06/12,1354.68
07/09/12,1352.46
07/10/12,1341.47
07/11/12,1341.45
07/12/12,1334.76
07/13/12,1356.78
07/16/12,1353.64
07/17/12,1363.67
07/18/12,1372.78
07/19/12,1376.51
07/20/12,1362.66
07/23/12,1350.52
07/24/12,1338.31
07/25/12,1337.89
07/26/12,1360.02
07/27/12,1385.97
07/30/12,1385.3
07/31/12,1379.32
08/01/12,1375.14
08/02/12,1365
08/03/12,1390.99
08/06/12,1394.23
08/07/12,1401.35
08/08/12,1402.22
08/09/12,1402.8
08/10/12,1405.87
08/13/12,1404.11
08/14/12,1403.93
08/15/12,1405.53
08/16/12,1415.51
08/17/12,1418.16
08/20/12,1418.13
08/21/12,1413.17
08/22/12,1413.49
08/23/12,1402.08
08/24/12,1411.13
08/27/12,1410.44
08/28/12,1409.3
08/29/12,1410.49
08/30/12,1399.48
08/31/12,1406.58
09/03/12,0
09/04/12,1404.94
09/05/12,1403.44
09/06/12,1432.12
09/07/12,1437.92
09/10/12,1429.08
09/11/12,1433.56
09/12/12,1436.56
09/13/12,1459.99
09/14/12,1465.77
09/17/12,1461.19
09/18/12,1459.32
09/19/12,1461.05
09/20/12,1460.26
